,State,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,fips
20,Maryland,#00ff7D,#00ff7D,#00FF00,#00ff7D,#00ff7D,#00FFFF,#00ff7D,#00FF00,#00FF00,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FFFF,#00FFFF,#00FF00,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00ff7D,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,US24
21,Maine,#FF7D00,#FFFF00,#FFFF00,#7DFF00,#7DFF00,#00FF00,#7DFF00,#7DFF00,#7DFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#7DFF00,#7DFF00,#FFFF00,#FFFF00,#FFFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#00FF00,#00FF00,#00FF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US23
22,Michigan,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#7DFF00,#7DFF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US26
23,Minnesota,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#00FF00,#00FF00,#00FF00,#7DFF00,#7DFF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,US27
24,Missouri,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US29
25,Mississippi,#00FF00,#00ff7D,#00ff7D,#00FFFF,#00FFFF,#00FFFF,#007DFF,#00FFFF,#00FFFF,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FFFF,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US28
26,Montana,#7DFF00,#7DFF00,#FFFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#00FF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#00FF00,#7DFF00,#00FF00,#00FF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#7DFF00,#00FF00,#00FF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#00FF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,US30
27,North Carolina,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FFFF,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US37
28,North Dakota,#7DFF00,#7DFF00,#7DFF00,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00FF00,#00ff7D,#00ff7D,#00FFFF,#00FF00,#00FF00,#00ff7D,#00ff7D,#7DFF00,#7DFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#7DFF00,#7DFF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US38
29,Nebraska,#00FF00,#00ff7D,#00FF00,#00FF00,#00FF00,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#0000FF,#007DFF,#007DFF,#007DFF,#007DFF,#0000FF,#007DFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#007DFF,#0000FF,#007DFF,#007DFF,#00FFFF,#00FFFF,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,US31
30,New Hampshire,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00ff7D,#00ff7D,#00FF00,#00FF00,#00ff7D,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00ff7D,#00ff7D,#00ff7D,#00FFFF,#00FFFF,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FFFF,#00FFFF,#00ff7D,#00ff7D,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,US33
